v1,v2,,,
ham,Nice song﻿,,,
ham,I love song ﻿,,,
ham,I love song ﻿,,,
ham,"860,000,000 lets make it first female to reach one billion!! Share it and replay it! ﻿",,,
ham,shakira is best for worldcup﻿,,,
ham,The best world cup song ever!!!!﻿,,,
ham,I love﻿,,,
spam,SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿,,,
ham,Awesome ﻿,,,
ham,I like shakira..﻿,,,
ham,Shakira - Waka Waka <br />LOVE THIS SONG!!!!!!!!!!!!!!!﻿,,,
ham,Why so many disliked??????!!!!!!😯﻿,,,
ham,I don&#39;t think this song will ever get old ﻿,,,
ham,Love song﻿,,,
ham,wery good﻿,,,
ham,"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿",,,
ham,Whose watching this in 2015. If so hi-5﻿,,,
ham,I love this song so much &lt;3<br />Keep em&#39; coming!﻿,,,
ham,i love this song thumsb up to you﻿,,,
ham,Waka best one﻿,,,
ham,5 years later i still love this song <br />~Axy665﻿,,,
ham,Like﻿,,,
spam,Check out this playlist on YouTube:﻿,,,
ham,Her voice sounds weird and plus she&#39;s cute for a blonde﻿,,,
ham,"Why there are so many dislikes. This song is so... awesome. It sounds like we MUST STOP BE RACISTS!!! If I could, I would like it 1,000,000,000 times!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",,,
ham,Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿,,,
ham,still watching in 2015...﻿,,,
ham,Shakira is my favourite singer. Wooooo﻿,,,
ham,i remember this song!,,,
ham,Like﻿,,,
ham,Whose who are watching this in 2015.  LIKE!﻿,,,
spam,"Support the fight for your 4th amendment right to privacy in your home.  Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our  Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation.  Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters join Rand in the fight to protect <a href=""http://it.ht"">it.ht</a> to privacy in your home and business.. Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday  morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters To All Of US, Help Rand Protect It by joining the fright for it.﻿",,,
ham,best song in world﻿,,,
ham,BEAUTIFUL,,,
ham,Good song:-)﻿,,,
ham,She&#39;s such an awesome entertainer. And pretty too! &lt;3 Shakira!﻿,,,
spam,Check out this video on YouTube:﻿,,,
ham,Love this song﻿,,,
ham,Love this song! My soccer team made a cd for our couch with this song on it!﻿,,,
ham,fave song﻿,,,
ham,Watching in 2015﻿,,,
ham,I felt old when I realized that this song was 5 years old...﻿,,,
ham,love Shakira!﻿,,,
ham,One of the best song of all the time﻿,,,
ham,I really am madly in love with this woman!!﻿,,,
ham,i totally love this song. absolutely fantastic! i love ya shakira!﻿,,,
ham,im still watching in 2015﻿,,,
ham,the song is sad﻿,,,
ham,goood﻿,,,
ham,The best FIFA world cup song for sure.﻿,,,
ham,Nice vídeo shakira good﻿,,,
spam,"coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿",,,
spam,"see this<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX﻿",,,
ham,Waka waka﻿,,,
ham,she is beautiful but it is not American!﻿,,,
spam,Thumbs up if your watching in 2015﻿,,,
ham,ILOVETHISSONG﻿,,,
spam,Subscribe me please. i&#39;ll promise i&#39;ll sub back﻿,,,
ham,Lamest World Cup song ever! This time FOR Africa? You mean IN Africa. It wasn&#39;t a Live Aid event or something. She made it seem like a charity case for them instead of a proud moment. Where was Ricky Martin when you needed him! SMH﻿,,,
ham,My friend Sam loves this song😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊﻿,,,
spam,Check out this video on YouTube:﻿,,,
ham,I love you﻿,,,
ham,"To help shakira become the first female to hit 1billiom views, I&#39;ve decided to watch this Video at least one a day. Everyday! Shakifans we r so close just hit the replay button !!!﻿",,,
ham,ILove shakira ﻿,,,
ham,It was  cool   the best   song ever  ﻿,,,
ham,OMG LISTEN TO THIS ITS SOO GOOD!! :D﻿,,,
spam,My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿,,,
ham,nice song﻿,,,
ham,waka waka﻿,,,
ham,super music﻿,,,
ham,How could 108k people dislike this song or video﻿,,,
ham,Love it!!!!!!!!!!!!!!!!💜﻿,,,
ham,I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.﻿,,,
ham,Youtube comments be like<br />This is so 5 years ago. ﻿,,,
ham,it pisses me off a bit that blank space has more views (868 mio) than this. meh ﻿,,,
ham,Your the best♣♥﻿,,,
ham,I love you  ;p﻿,,,
ham,I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,,,
ham,"This song is special, because is a song for Africa  and I am an African ﻿",,,
ham,&lt;3 this song so much.SHAKIRA YOUR A REALLY GOOD ARTIST.﻿,,,
ham,I love shakira<br />❤❤❤❤﻿,,,
spam,"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",,,
ham,I remember that torunament like it was today.﻿,,,
spam,Thank you. Please give your email. ﻿,,,
ham,beautiful﻿,,,
ham,Like﻿,,,
ham,"Shakira you are so beautiful. You are lovely, lively.. We love you.﻿",,,
ham,GREAT!!!﻿,,,
ham,Best World Cup Song﻿,,,
spam,Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,,,
ham,This song is so beauty,,,
ham,I heard this when I was only 6 years old and I still love it﻿,,,
ham,nice song﻿,,,
ham,waka waka:-):-):-)﻿,,,
ham,Oh my god go to 1 billion of replay i love shakira﻿,,,
ham,i love her﻿,,,
ham,I love this song &amp;I love shakira&lt;333♡♡♡♡♡♡♡♡♡♡♡《33☆☆☆﻿,,,
spam,Yea stil the best WK song ever<br />Thumbs up of you think the same<br />﻿,,,
ham,I liked<br />﻿,,,
ham,I like this song ﻿,,,
ham,i like it :)﻿,,,
ham,Waka waka !!!﻿,,,
ham,Amazing song﻿,,,
ham,Cool song ﻿,,,
ham,i love u  shakira﻿,,,
ham,Waka waka ﻿,,,
ham,this song sucks﻿,,,
